Timestamp,Did the music sample evoke any emotional responses?,Was the audio style thematically suitable?,How did you find the quality of the instrument/audio?,Do you have any additional notes about the music?,Did the music sample evoke any emotional responses?,Was the audio style thematically suitable?,How did you find the quality of the instrument/audio?,Do you have any additional notes about the music?,Did the music sample evoke any emotional responses?,Was the audio style thematically suitable?,How did you find the quality of the instrument/audio?,Do you have any additional notes about the music?,Did the music sample evoke any emotional responses?,Was the audio style thematically suitable?,How did you find the quality of the instrument/audio?,Do you have any additional notes about the music?,Did the music sample evoke any emotional responses?,Was the audio style thematically suitable?,How did you find the quality of the instrument/audio?,Do you have any additional notes about the music?,Did the music sample evoke any emotional responses?,Was the audio style thematically suitable?,How did you find the quality of the instrument/audio?,Do you have any additional notes about the music?,Do you think that the audio contribution feels just as suitable as pre-recorded audio?,Do you have any additional inputs on this showcase?
2026/05/22 7:41:12 pm CET,Yes,Yes,4,,Yes,Yes,5,"The music fits the theme however if would suit a ""you died"" better than taking damage",Yes,Yes,4,,Yes,Yes,5,perfect ,Yes,Yes,4,,Yes,Yes,5,,These audio samples were equal in aesthetic impact compared to pre-recorded audio,no
2026/05/23 11:12:00 am CET,Yes,Yes,4,"The music invoked a feeling of nobility, but was maybe a little repetitive repeating 4 time.",Yes,Yes,5,"A unique damage sound effect, which is atypically upbeat ",Yes,No,5,Fantastic sound effect: but you would expect slimes to sound sticky - this sound effect did fill me with an existential dread I cannot describe - almost eerily ethereal.,Yes,Yes,5,"So much joy was envoked with this sound - it is the most unapologetically whimsical level up sound I have ever heard in gaming, 10/10 ",Yes,Yes,5,"The sound to me invokes images of handsome Thanos as a ""cool guy"" character",Yes,Yes,5,It made me feel like I solved a puzzle and its 'giving' Legend of Zelda,These audio samples were equal in aesthetic impact compared to pre-recorded audio,"This showcase to me demonstrated that good quality audio (and audio that matches a visual tone) can invoke feeling as strong as pre-recorded audio. It also gave the showcase an authentic, homely and indie feel. "
2026/05/31 11:35:58 pm CET,Yes,Yes,5,It was very dramatic,Yes,Yes,5,It was scary music,Yes,Yes,5,I liked it it made me jump,Yes,Yes,5,Happy music it made me think yay i levelled up,Yes,Yes,5,It was funny music this time,Yes,Yes,5,It made you curious about what was in the box,These audio samples were equal in aesthetic impact compared to pre-recorded audio,I had a lot of fun running about and bumping into question marks and tbe music did make it far more interesting and dramatic
2026/06/01 11:18:23 am CET,Yes,Yes,3,audio quality is not great and it is much louder than the other samples,Yes,Yes,4,sound was maybe a bit long for just taking damage? In terms of length it felt more like it belonged in a death screen,Yes,No,4,feels more like it belongs in an elder scrolls game. Doesn't really fit the art style/environment this test is in,Yes,Yes,4,,Yes,No,4,"I have no idea what this is trying to convey in the context of a game. For just handsome thanos by himself it works. Though the music does feel detached from the level up and damage sounds, feeling like a different genre.",Yes,Yes,4,,The audio sounded appropriate but it is not suitable for all video games,"I don't have much experience with pre-recorded audio. I do think overall the quality was pretty good. However, the samples don't all feel like they belong in the same game."
2026/06/01 6:57:32 pm CET,Yes,Yes,5,very mistholme museum vibes,No,No,4,"I think this one shouldve been shorter sound wise, it sounds like the start to background dungeon music",Yes,Yes,5,"holy jumpscare, noise was good for the effect but its more like horror game background music",Yes,Yes,5,happy,Yes,Yes,5,fear pure fear,Yes,Yes,3,"i liked the happy noise for the level up over this one, this one feels like it cuts out too early","The nature of the audio was suitable, but did not exceed the standard of pre-recorded audio",jumpscare the simulation
2026/06/01 8:18:33 pm CET,Yes,Yes,5,I really liked the trumpet noise - I thought it was very clear and the music provokes a real sense of royalty and knighthood that can't be mistaken.,Yes,Yes,5,I thought this music relayed failure very well with its deeper tones and different instruments. ,Yes,Yes,5,Very creepy - a continuous version of this with the slimes following the player could definitely be very spookyyy.,Yes,Yes,5,Clear success sound with light tones that evokes happiness.,Yes,Yes,5,I liked the piercing quality of the guitar through the applause - it makes it sound like a true rock solo.,Yes,Yes,5,My favourite one! Light and friendly tones conveys success and discovery very well and the music also feels almost familiar- it is definitely suited to an action that could be repeated many times such as each time treasure is found.,These audio samples were equal in aesthetic impact compared to pre-recorded audio,"I feel the music is extremely suited to a video game, especially the damage and treasure chest audios which are very concise and unmistakable. "
2026/06/01 8:33:33 pm CET,Yes,Yes,3,It was a bit loud which caught me offguard,Yes,Yes,4,,Yes,Yes,4,,Yes,Yes,4,It suited the game well,Yes,Yes,4,,Yes,Yes,5,Fit the scene well,The audio sounded appropriate but it is not suitable for all video games,
2026/06/01 9:04:29 pm CET,Yes,Yes,4,,No,Yes,5,,No,Yes,4,,No,Yes,4,,No,No,4,,No,Yes,4,,"The nature of the audio was suitable, but did not exceed the standard of pre-recorded audio",
2026/06/01 9:55:07 pm CET,Yes,Yes,5,,Yes,Yes,5,,Yes,Yes,4,very spooky,Yes,Yes,4,,No,No,4,There was a lot of overlapping sounds for this one that made it hard to figure out what to feel,Yes,Yes,5,,"The nature of the audio was suitable, but did not exceed the standard of pre-recorded audio",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Did the music sample evoke any emotional responses?,Was the audio style thematically suitable?,How was the quality presented in the audio sample?,,,,,,,,,,,,,,,,,,,,,
,,Knights,100%,100%,84%,,,,,,,,,,,,,,,,,,,,,
,,Damage,78%,89%,93%,,,,,,,,,,,,,,,,,,,,,
,,Slime,89%,78%,89%,,,,,,,,,,,,,,,,,,,,,
,,Level Up,89%,100%,91%,,,,,,,,,,,,,,,,,,,,,
